# file...... ../data_powRecorderA.csv
# date...... Wed Apr 26 14:48:24 2017
# user...... gour967
# host...... (null)
# target.... meter 13
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,measured_power_A
2017-03-28 00:00:12.270000 PDT,+1680.4+25.8419d
2017-03-28 00:00:12.280000 PDT,+1676.28+25.8419d
2017-03-28 00:00:12.290000 PDT,+1672.15+25.8419d
2017-03-28 00:00:12.300000 PDT,+1668.03+25.8419d
2017-03-28 00:00:12.310000 PDT,+1663.91+25.8419d
2017-03-28 00:00:12.320000 PDT,+1659.79+25.8419d
2017-03-28 00:00:12.330000 PDT,+1655.67+25.8419d
2017-03-28 00:00:12.340000 PDT,+1651.55+25.8419d
2017-03-28 00:00:12.350000 PDT,+1647.44+25.8419d
2017-03-28 00:00:12.360000 PDT,+1643.33+25.8419d
2017-03-28 00:00:12.370000 PDT,+1639.22+25.8419d
2017-03-28 00:00:12.380000 PDT,+1635.11+25.8419d
2017-03-28 00:00:12.390000 PDT,+1631.01+25.8419d
2017-03-28 00:00:12.400000 PDT,+1626.91+25.8419d
2017-03-28 00:00:12.410000 PDT,+1622.81+25.8419d
2017-03-28 00:00:12.420000 PDT,+1618.72+25.8419d
2017-03-28 00:00:12.430000 PDT,+1614.63+25.8419d
2017-03-28 00:00:12.440000 PDT,+1610.54+25.8419d
2017-03-28 00:00:12.450000 PDT,+1606.46+25.8419d
2017-03-28 00:00:12.460000 PDT,+1602.38+25.8419d
2017-03-28 00:00:12.470000 PDT,+1598.31+25.8419d
2017-03-28 00:00:12.480000 PDT,+1594.24+25.8419d
2017-03-28 00:00:12.490000 PDT,+1590.17+25.8419d
2017-03-28 00:00:12.500000 PDT,+1586.1+25.8419d
2017-03-28 00:00:12.510000 PDT,+1582.04+25.8419d
2017-03-28 00:00:12.520000 PDT,+1577.99+25.8419d
2017-03-28 00:00:12.530000 PDT,+1573.93+25.8419d
2017-03-28 00:00:12.540000 PDT,+1569.89+25.8419d
2017-03-28 00:00:12.550000 PDT,+1565.84+25.8419d
2017-03-28 00:00:12.560000 PDT,+1561.8+25.8419d
2017-03-28 00:00:12.570000 PDT,+1557.76+25.8419d
2017-03-28 00:00:12.580000 PDT,+1553.72+25.8419d
2017-03-28 00:00:12.590000 PDT,+1549.69+25.8419d
2017-03-28 00:00:12.600000 PDT,+1545.66+25.8419d
2017-03-28 00:00:12.610000 PDT,+1541.64+25.8419d
2017-03-28 00:00:12.620000 PDT,+1537.62+25.8419d
2017-03-28 00:00:12.630000 PDT,+1533.6+25.8419d
2017-03-28 00:00:12.640000 PDT,+1529.58+25.8419d
2017-03-28 00:00:12.650000 PDT,+1525.57+25.8419d
2017-03-28 00:00:12.660000 PDT,+1521.56+25.8419d
2017-03-28 00:00:12.670000 PDT,+1517.55+25.8419d
2017-03-28 00:00:12.680000 PDT,+1513.54+25.8419d
2017-03-28 00:00:12.690000 PDT,+1509.54+25.8419d
2017-03-28 00:00:12.700000 PDT,+1505.54+25.8419d
2017-03-28 00:00:12.710000 PDT,+1501.54+25.8419d
2017-03-28 00:00:12.720000 PDT,+1497.55+25.8419d
2017-03-28 00:00:12.730000 PDT,+1493.55+25.8419d
2017-03-28 00:00:12.740000 PDT,+1489.56+25.8419d
2017-03-28 00:00:12.750000 PDT,+1485.57+25.8419d
2017-03-28 00:00:12.760000 PDT,+1481.58+25.8419d
2017-03-28 00:00:12.770000 PDT,+1477.59+25.8419d
2017-03-28 00:00:12.780000 PDT,+1473.61+25.8419d
2017-03-28 00:00:12.790000 PDT,+1469.62+25.8419d
2017-03-28 00:00:12.800000 PDT,+1465.64+25.8419d
2017-03-28 00:00:12.810000 PDT,+1461.66+25.8419d
2017-03-28 00:00:12.820000 PDT,+1457.68+25.8419d
2017-03-28 00:00:12.830000 PDT,+1453.7+25.8419d
2017-03-28 00:00:12.840000 PDT,+1449.72+25.8419d
2017-03-28 00:00:12.850000 PDT,+1445.74+25.8419d
2017-03-28 00:00:12.860000 PDT,+1441.76+25.8419d
