# file...... ../data_vfd_out_rec_curr_A.csv
# date...... Wed Apr 26 14:48:24 2017
# user...... gour967
# host...... (null)
# target.... vfd 20
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,current_out_A
2017-03-28 00:00:12.180000 PDT,+0.238095-46.4295d
2017-03-28 00:00:12.190000 PDT,+0.238095-55.2045d
2017-03-28 00:00:12.200000 PDT,+0.238095-64.467d
2017-03-28 00:00:12.210000 PDT,+0.238095-74.217d
2017-03-28 00:00:12.220000 PDT,+0.238095-84.4545d
2017-03-28 00:00:12.230000 PDT,+0.238095-95.1795d
2017-03-28 00:00:12.240000 PDT,+0.238095-106.392d
2017-03-28 00:00:12.250000 PDT,+0.238095-118.092d
2017-03-28 00:00:12.260000 PDT,+0.238095-130.279d
2017-03-28 00:00:12.270000 PDT,+0.238095-142.954d
2017-03-28 00:00:12.280000 PDT,+0.238095-156.117d
2017-03-28 00:00:12.290000 PDT,+0.238095-169.767d
2017-03-28 00:00:12.300000 PDT,+0.238095+176.096d
2017-03-28 00:00:12.310000 PDT,+0.238095+161.471d
2017-03-28 00:00:12.320000 PDT,+0.238095+146.358d
2017-03-28 00:00:12.330000 PDT,+0.238095+130.758d
2017-03-28 00:00:12.340000 PDT,+0.238095+114.671d
2017-03-28 00:00:12.350000 PDT,+0.238095+98.0957d
2017-03-28 00:00:12.360000 PDT,+0.238095+81.0332d
2017-03-28 00:00:12.370000 PDT,+0.238095+63.4832d
2017-03-28 00:00:12.380000 PDT,+0.238095+45.4457d
2017-03-28 00:00:12.390000 PDT,+0.238095+26.9203d
2017-03-28 00:00:12.400000 PDT,+0.238095+7.90784d
2017-03-28 00:00:12.410000 PDT,+0.238095-11.5921d
2017-03-28 00:00:12.420000 PDT,+0.238095-31.5796d
2017-03-28 00:00:12.430000 PDT,+0.238095-52.0546d
2017-03-28 00:00:12.440000 PDT,+0.238095-73.0171d
2017-03-28 00:00:12.450000 PDT,+0.238095-94.4671d
2017-03-28 00:00:12.460000 PDT,+0.238095-116.405d
2017-03-28 00:00:12.470000 PDT,+0.238095-138.83d
2017-03-28 00:00:12.480000 PDT,+0.238095-161.742d
2017-03-28 00:00:12.490000 PDT,+0.238095+174.858d
2017-03-28 00:00:12.500000 PDT,+0.238095+150.971d
2017-03-28 00:00:12.510000 PDT,+0.238095+126.596d
2017-03-28 00:00:12.520000 PDT,+0.238095+101.733d
2017-03-28 00:00:12.530000 PDT,+0.238095+76.3831d
2017-03-28 00:00:12.540000 PDT,+0.238095+50.5456d
2017-03-28 00:00:12.550000 PDT,+0.238095+24.2207d
2017-03-28 00:00:12.560000 PDT,+0.238095-2.5918d
2017-03-28 00:00:12.570000 PDT,+0.238095-29.8918d
2017-03-28 00:00:12.580000 PDT,+0.238095-57.6793d
2017-03-28 00:00:12.590000 PDT,+0.238095-85.9542d
2017-03-28 00:00:12.600000 PDT,+0.238095-114.717d
2017-03-28 00:00:12.610000 PDT,+0.238095-143.967d
2017-03-28 00:00:12.620000 PDT,+0.238095-173.704d
2017-03-28 00:00:12.630000 PDT,+0.238095+156.071d
2017-03-28 00:00:12.640000 PDT,+0.238095+125.358d
2017-03-28 00:00:12.650000 PDT,+0.238095+94.1577d
2017-03-28 00:00:12.660000 PDT,+0.238095+62.4702d
2017-03-28 00:00:12.670000 PDT,+0.238095+30.2953d
2017-03-28 00:00:12.680000 PDT,+0.238095-2.36719d
2017-03-28 00:00:12.690000 PDT,+0.238095-35.5172d
2017-03-28 00:00:12.700000 PDT,+0.238095-69.1546d
2017-03-28 00:00:12.710000 PDT,+0.238095-103.28d
2017-03-28 00:00:12.720000 PDT,+0.238095-137.892d
2017-03-28 00:00:12.730000 PDT,+0.238095-172.992d
2017-03-28 00:00:12.740000 PDT,+0.238095+151.421d
2017-03-28 00:00:12.750000 PDT,+0.238095+115.346d
2017-03-28 00:00:12.760000 PDT,+0.238095+78.7831d
2017-03-28 00:00:12.770000 PDT,+0.238095+41.7331d
