# file...... ../data_vfd_in_rec_pow_A.csv
# date...... Wed Apr 26 14:48:24 2017
# user...... gour967
# host...... (null)
# target.... vfd 20
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,power_in_A
2017-03-28 00:00:08.050000 PDT,+1567.53+759.188j
2017-03-28 00:00:08.060000 PDT,+1570.04+760.406j
2017-03-28 00:00:08.070000 PDT,+1572.55+761.623j
2017-03-28 00:00:08.080000 PDT,+1575.06+762.837j
2017-03-28 00:00:08.090000 PDT,+1577.56+764.047j
2017-03-28 00:00:08.100000 PDT,+1580.05+765.255j
2017-03-28 00:00:08.110000 PDT,+1582.54+766.459j
2017-03-28 00:00:08.120000 PDT,+1585.02+767.66j
2017-03-28 00:00:08.130000 PDT,+1587.49+768.858j
2017-03-28 00:00:08.140000 PDT,+1589.96+770.052j
2017-03-28 00:00:08.150000 PDT,+1592.41+771.241j
2017-03-28 00:00:08.160000 PDT,+1594.86+772.427j
2017-03-28 00:00:08.170000 PDT,+1597.3+773.608j
2017-03-28 00:00:08.180000 PDT,+1599.73+774.784j
2017-03-28 00:00:08.190000 PDT,+1602.15+775.956j
2017-03-28 00:00:08.200000 PDT,+1604.56+777.122j
2017-03-28 00:00:08.210000 PDT,+1607.07+778.338j
2017-03-28 00:00:09 PDT,+1607.07+778.338j
2017-03-28 00:00:10 PDT,+1607.07+778.338j
2017-03-28 00:00:11 PDT,+1607.07+778.338j
2017-03-28 00:00:12.000000 PDT,+1607.07+778.338j
2017-03-28 00:00:12.010000 PDT,+1607.21+778.409j
2017-03-28 00:00:12.020000 PDT,+1603.71+776.712j
2017-03-28 00:00:12.030000 PDT,+1600.19+775.006j
2017-03-28 00:00:12.040000 PDT,+1596.64+773.29j
2017-03-28 00:00:12.050000 PDT,+1593.08+771.566j
2017-03-28 00:00:12.060000 PDT,+1589.51+769.834j
2017-03-28 00:00:12.070000 PDT,+1585.92+768.095j
2017-03-28 00:00:12.080000 PDT,+1582.31+766.349j
2017-03-28 00:00:12.090000 PDT,+1578.7+764.597j
2017-03-28 00:00:12.100000 PDT,+1575.07+762.839j
2017-03-28 00:00:12.110000 PDT,+1571.43+761.076j
2017-03-28 00:00:12.120000 PDT,+1567.78+759.308j
2017-03-28 00:00:12.130000 PDT,+1564.12+757.536j
2017-03-28 00:00:12.140000 PDT,+1560.45+755.76j
2017-03-28 00:00:12.150000 PDT,+1556.77+753.981j
2017-03-28 00:00:12.160000 PDT,+1553.09+752.198j
2017-03-28 00:00:12.170000 PDT,+1549.41+750.412j
2017-03-28 00:00:12.180000 PDT,+1545.72+748.624j
2017-03-28 00:00:12.190000 PDT,+1542.02+746.834j
2017-03-28 00:00:12.200000 PDT,+1538.32+745.042j
2017-03-28 00:00:12.210000 PDT,+1534.62+743.249j
